company_name,domain,score,num_pages,pages_with_both,distinct_queries,serp_snippet_hits,avg_proximity,avg_page_length,social_flag,num_pages_scaled,pages_with_both_scaled,distinct_queries_scaled,serp_snippet_hits_scaled,inv_proximity_scaled,avg_page_length_scaled,country,date_collected
Orangemali,orangemali.com,0.7621701937787134,32,29,15,81,19.724137931034484,3931.09375,0,1.0,1.0,1.0,1.0,0.09650582362728785,7.846479789039916e-05,Mali,2026-03-20
La Banque de Développement du Mali,bdm-sa.com,0.35632685758556315,21,21,2,26,11.619047619047619,829.5714285714286,0,0.6451612903225806,0.7241379310344828,0.07142857142857142,0.32098765432098764,0.15849056603773584,1.6558280880100316e-05,Mali,2026-03-20
Téléphones & Tablettes,ml.coinafrique.com,0.3386631386546789,13,8,10,22,11.125,8089.615384615385,0,0.3870967741935484,0.27586206896551724,0.6428571428571429,0.2716049382716049,0.16494845360824742,0.0001614690659984667,Mali,2026-03-20
Rebtel,rebtel.com,0.2908091740692165,5,5,5,5,1.8,2323.0,0,0.12903225806451613,0.1724137931034483,0.2857142857142857,0.06172839506172839,0.7142857142857143,4.6367178472758956e-05,Mali,2026-03-20
Seagm,seagm.com,0.2837314263306984,5,5,4,5,1.6,5045.0,0,0.12903225806451613,0.1724137931034483,0.21428571428571427,0.06172839506172839,0.7692307692307692,0.00010069841385926342,Mali,2026-03-20
Banqueatlantique,banqueatlantique.net,0.28046061867927163,16,16,2,18,11.8125,2655.625,0,0.4838709677419355,0.5517241379310345,0.07142857142857142,0.2222222222222222,0.15609756097560976,5.300638757284567e-05,Mali,2026-03-20
Bamada,bamada.net,0.23619322101696336,5,5,4,7,2.8,6849.6,0,0.12903225806451613,0.1724137931034483,0.21428571428571427,0.08641975308641975,0.5263157894736842,0.00013671830635687032,Mali,2026-03-20
APP Talk Home,app.talk-home.com,0.21884092202058233,1,1,1,1,1.0,6657.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,1.0,0.0001328740021924909,Mali,2026-03-20
ARTAO,watra.org,0.21883896511333356,1,1,1,1,1.0,4755.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,1.0,9.491000156606493e-05,Mali,2026-03-20
Maliactu,maliactu.net,0.21883718311367273,1,1,1,1,1.0,3023.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,1.0,6.0339208145996694e-05,Mali,2026-03-20
Zhooma,zhooma.com,0.2145452818521453,8,7,6,17,42.0,1530.375,0,0.22580645161290322,0.2413793103448276,0.35714285714285715,0.20987654320987653,0.046511627906976744,3.054634987311601e-05,Mali,2026-03-20
Recharge,recharge.com,0.21159390572274056,2,2,2,3,1.5,3380.0,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.037037037037037035,0.8,6.746494327934795e-05,Mali,2026-03-20
Maliweb,maliweb.net,0.2103226564277486,2,2,2,2,1.5,4839.0,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.024691358024691357,0.8,9.658664512685345e-05,Mali,2026-03-20
Mobilerecharge,mobilerecharge.com,0.20905149098551207,2,2,2,1,1.5,6379.5,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.012345679012345678,0.8,0.00012733509042917165,Mali,2026-03-20
Mali Achats,mali-achats.com,0.20376808703295593,7,5,6,15,15.0,980.4285714285714,0,0.1935483870967742,0.1724137931034483,0.35714285714285715,0.18518518518518517,0.125,1.956939584641441e-05,Mali,2026-03-20
Monniz,monniz.com,0.1841047412639334,2,2,2,3,2.0,5561.5,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.037037037037037035,0.6666666666666666,0.00011100777575387383,Mali,2026-03-20
Electroménager,samsung.com,0.17767400387471632,8,8,4,9,48.5,14279.875,0,0.22580645161290322,0.27586206896551724,0.21428571428571427,0.1111111111111111,0.04040404040404041,0.0002850269103287511,Mali,2026-03-20
